Observation,Date of observation,Exposure time,MJD_Time,Source coordinates (I),Median background,Bkg-subtracted aperture CPS,Flat-field coordinates,Flat-field Correction,Raw CPS (without FF),Saturation corrected CPS,Final flat-field corrected CPS,Errors for the final flat-field corrected CPS
LEVL2AS1UVT20210703C06_010T01_9000004504_uvt_03,03/07/2021,677.793,59398.26440334026,"[3488.8, 1440.9]",4.096e-05,0.788,"[394.9, 138.9]",1.025,0.769,0.879,0.901,0.038
LEVL2AS1UVT20210802C06_010T02_9000004618_uvt_03,02/08/2021,1468.689,59428.84833567967,"[3020.5, 1035.9]",3.429e-05,0.819,"[331.0, 84.6]",1.058,0.774,0.885,0.936,0.027
LEVL2AS1UVT20210802C06_010T02_9000004618_uvt_02,02/08/2021,875.066,59428.91489873407,"[2976.4, 1051.4]",3.519e-05,0.81,"[332.9, 85.7]",1.057,0.767,0.876,0.926,0.034
LEVL2AS1UVT20210827C06_010T03_9000004672_uvt_03,27/08/2021,991.303,59453.40590195227,"[2616.8, 860.0]",3.637e-05,0.796,"[280.2, 69.2]",1.069,0.745,0.851,0.909,0.032
LEVL2AS1UVT20210827C06_010T03_9000004672_uvt_02,27/08/2021,1480.006,59453.47183889358,"[2458.0, 869.7]",3.527e-05,0.813,"[279.0, 70.4]",1.068,0.761,0.87,0.929,0.026
LEVL2AS1UVT20211025C06_010T05_9000004736_uvt_02,25/10/2021,1558.044,59512.33221496314,"[1738.1, 1124.6]",3.381e-05,0.835,"[153.5, 139.3]",1.029,0.812,0.929,0.956,0.026
LEVL2AS1UVT20211025C06_010T05_9000004736_uvt_01,25/10/2021,204.447,59512.3915545294,"[1780.1, 1202.6]",4.184e-05,0.874,"[160.4, 124.4]",1.038,0.843,0.965,1.001,0.074
LEVL2AS1UVT20211101T04_065T01_9000004750_uvt_02,01/11/2021,163.173,59519.236303046004,"[2085.8, 1406.6]",2.856e-05,0.814,"[209.4, 133.1]",1.028,0.792,0.906,0.931,0.08
LEVL2AS1UVT20221215C06_010T05_9000005424_uvt_03,15/12/2022,481.845,59928.21770007775,"[1338.4, 2299.7]",3.446e-05,0.878,"[131.8, 272.1]",1.027,0.855,0.979,1.005,0.048
LEVL2AS1UVT20221215C06_010T05_9000005424_uvt_02,15/12/2022,1318.672,59928.28408804239,"[1383.7, 2262.9]",3.719e-05,0.829,"[123.2, 267.5]",1.029,0.806,0.922,0.948,0.028
LEVL2AS1UVT20221215C06_010T05_9000005424_uvt_01,15/12/2022,984.616,59928.34966310217,"[1364.1, 2184.2]",3.633e-05,0.847,"[126.5, 257.6]",1.029,0.822,0.941,0.969,0.033
LEVL2AS1UVT20221223C06_010T05_9000005436_uvt_03,23/12/2022,1046.114,59936.40380748491,"[1342.2, 2560.4]",3.696e-05,0.801,"[129.4, 287.4]",1.029,0.778,0.89,0.916,0.031
LEVL2AS1UVT20221223C06_010T05_9000005436_uvt_02,23/12/2022,1732.193,59936.47006898333,"[1816.5, 2577.9]",3.289e-05,0.828,"[132.9, 292.5]",1.033,0.802,0.917,0.947,0.025
LEVL2AS1UVT20230115C06_010T05_9000005484_uvt_03,15/01/2023,1435.363,59959.87328381399,"[1829.4, 3112.3]",4.200e-05,0.811,"[191.8, 339.2]",1.02,0.794,0.909,0.927,0.027
LEVL2AS1UVT20230115C06_010T05_9000005484_uvt_02,15/01/2023,1173.565,59959.94207698836,"[1816.6, 3070.5]",4.165e-05,0.836,"[191.6, 342.6]",1.018,0.821,0.939,0.956,0.03
LEVL2AS1UVT20230422T05_101T01_9000005578_uvt_02,22/04/2023,793.474,60056.97625771062,"[2937.6, 2965.3]",3.817e-05,0.824,"[331.7, 338.1]",0.997,0.826,0.946,0.943,0.036
LEVL2AS1UVT20230422T05_101T01_9000005578_uvt_01,23/04/2023,211.899,60057.04344781561,"[3014.9, 2942.3]",4.455e-05,0.918,"[334.2, 332.3]",0.997,0.921,1.055,1.053,0.074
LEVL2AS1UVT20230428T05_101T01_9000005586_uvt_02,28/04/2023,851.488,60062.993210178975,"[2945.4, 2905.7]",5.212e-05,0.781,"[338.4, 326.3]",0.998,0.783,0.895,0.893,0.034
LEVL2AS1UVT20230428T05_101T01_9000005586_uvt_01,29/04/2023,182.299,60063.06167725061,"[3093.5, 2910.2]",5.349e-05,0.774,"[345.5, 324.0]",0.996,0.777,0.889,0.885,0.074
LEVL2AS1UVT20230529C06_010T05_9000005670_uvt_04,30/05/2023,521.717,60094.02418266799,"[3636.6, 2127.0]",4.275e-05,0.817,"[414.8, 226.1]",0.992,0.824,0.943,0.935,0.045
LEVL2AS1UVT20230529C06_010T05_9000005670_uvt_01,30/05/2023,889.864,60094.21547022855,"[3388.4, 1632.0]",9.847e-05,0.754,"[413.9, 218.7]",0.994,0.758,0.867,0.861,0.033
LEVL2AS1UVT20230729C06_010T01_9000005800_uvt_04,29/07/2023,1269.118,60154.92979120458,"[3033.7, 1104.9]",4.134e-05,0.776,"[340.9, 86.9]",1.058,0.734,0.838,0.887,0.028
LEVL2AS1UVT20230729C06_010T01_9000005800_uvt_03,29/07/2023,226.804,60154.99597859554,"[2977.5, 943.6]",4.427e-05,0.845,"[336.7, 73.9]",1.072,0.788,0.901,0.966,0.069
LEVL2AS1UVT20230813C06_010T01_9000005816_uvt_03,13/08/2023,195.348,60169.396869503296,"[2928.3, 943.0]",3.638e-05,0.775,"[319.1, 79.5]",1.06,0.731,0.835,0.885,0.071
LEVL2AS1UVT20230813C06_010T01_9000005816_uvt_01,13/08/2023,390.226,60169.45084938969,"[2879.3, 818.8]",1.132e-04,0.709,"[315.8, 79.8]",1.059,0.67,0.764,0.81,0.048
LEVL2AS1UVT20240624C09_011T02_9000006310_uvt_02,24/06/2024,735.95,60485.732826737745,"[3588.5, 1500.6]",7.688e-05,0.689,"[404.5, 156.4]",1.016,0.678,0.774,0.786,0.035
LEVL2AS1UVT20240825C09_011T03_9000006410_uvt_03,25/08/2024,732.326,60547.25677612972,"[2524.0, 871.2]",5.401e-05,0.771,"[272.9, 76.3]",1.063,0.725,0.828,0.881,0.037
LEVL2AS1UVT20240825C09_011T03_9000006410_uvt_02,25/08/2024,1379.265,60547.32291868102,"[2560.9, 488.0]",7.195e-05,0.816,"[267.5, 72.8]",1.066,0.766,0.876,0.933,0.027
LEVL2AS1UVT20240828C09_011T01_9000006418_uvt_01,28/08/2024,573.429,60550.356327759226,"[2583.8, 469.2]",1.256e-04,0.779,"[270.3, 59.0]",1.077,0.723,0.825,0.889,0.042
