Observation ID,Exposure time,Date of observation,MJD,Source coordinates,FF coordinates,FF corrections,Median image background,Background subtracted CPS,Corrected CPS,Corrected CPS errors
LEVL2AS1UVT20200512C05_013T04_9000003660_uvt_01,1143.722,12/05/2020,58981.35651975052,[3135.1 1676.5],[362.  169.7],0.9980582305767276,3.744e-05,8.3930534,11.174316465644548,0.09864582654693127
LEVL2AS1UVT20201005T03_247T01_9000003914_uvt_02,192.6065,05/10/2020,59127.10515084031,[1702.6 2075.4],[165.8 216.7],1.0253892998472878,4.597e-05,8.565667999999999,11.085600647670203,0.23960039932435737
LEVL2AS1UVT20201005T03_247T01_9000003914_uvt_01,545.9542,05/10/2020,59127.15518983818,[1468.7 2418.6],[163.8 219.5],1.026828149859038,3.691e-05,8.7363045,11.33116054299976,0.14368438054526037
LEVL2AS1UVT20201015C05_013T06_9000003920_uvt_01,735.7728,15/10/2020,59137.92131370184,[1600.4 2206.9],[157.3 221.6],1.0268859425606292,3.124e-05,8.499743800000001,10.965276680987815,0.12188984486366064
LEVL2AS1UVT20210703C06_010T01_9000004504_uvt_03,677.7931,03/07/2021,59398.26440334026,[2547.1  774.9],[277.1  55.5],1.0830986625164647,4.096e-05,8.7282104,10.622520785853496,0.12523118364368602
LEVL2AS1UVT20210802C06_010T02_9000004618_uvt_03,1468.689,02/08/2021,59428.84833567967,[1873.3  915.7],[187.5  69.5],1.0662008689250209,3.429e-05,8.643931599999998,10.698549599015012,0.08531560498943622
LEVL2AS1UVT20210802C06_010T02_9000004618_uvt_02,875.0664,02/08/2021,59428.91489873407,[1829.4  931.7],[189.4  70.6],1.0647209957691044,3.519e-05,8.5735481,10.612934383754144,0.11012100644014937
LEVL2AS1UVT20210827C06_010T03_9000004672_uvt_03,991.3032,27/08/2021,59453.40590195227,[1512.1 1191.5],[142.  110.5],1.043241713214397,3.637e-05,8.5913025,10.899169093859301,0.10474190216819722
LEVL2AS1UVT20210827C06_010T03_9000004672_uvt_02,1480.006,27/08/2021,59453.47183889358,[1353.  1201.1],[140.7 111.7],1.0419826366876186,3.527e-05,8.5048315,10.784526656544058,0.0853035688541805
LEVL2AS1UVT20211025C06_010T05_9000004736_uvt_02,1558.044,25/10/2021,59512.33221496314,[1350.6 2211.4],[104.9 275. ],1.0276644449324366,3.381e-05,8.6320052,11.158871425580216,0.08444119166386464
LEVL2AS1UVT20211025C06_010T05_9000004736_uvt_01,204.4466,25/10/2021,59512.3915545294,[1393.2 2289.4],[111.9 260.1],1.0269496171505792,4.184e-05,8.6429389,11.184731094455648,0.2334604178810312
LEVL2AS1UVT20211101T04_065T01_9000004750_uvt_02,163.1729,01/11/2021,59519.236303046004,[1833.6 2532.3],[177.7 273.7],1.0237930777609399,2.856e-05,8.9731252,11.742839910554475,0.2670305407886478
