Observation ID,Exposure time,Date of observation,MJD,Source coordinates,FF coordinates,FF corrections,Median image background,Background subtracted CPS,Corrected CPS,Corrected CPS errors
LEVL2AS1UVT20180222T02_002T01_9000001914_uvt_01,1038.87,23/02/2018,58172.51376624281,[2874.7 2587.2],[273.6 224.8],0.9937968929834102,3.304e-05,11.810338,17.226722041081715,0.12666995079312524
LEVL2AS1UVT20180404C03_015T02_9000002008_uvt_02,430.9344,04/04/2018,58212.229058477904,[2618.1 1897.8],[277.3 214.5],1.0000186409023428,4.054e-05,11.872245,17.203418973758577,0.19659817807411795
LEVL2AS1UVT20180720C03_015T04_9000002240_uvt_01,1063.215,20/07/2018,58319.75257856905,[2613.7 2274.3],[269.6 228.6],0.9927087006938058,3.397e-05,11.866712,17.360881954820524,0.12569401409786957
LEVL2AS1UVT20180826C03_015T04_9000002328_uvt_03,255.1832,26/08/2018,58356.10067563945,[2513.4 2017.6],[268.6 223.8],0.9937591137948539,4.640e-05,11.589772,16.804285246822737,0.2526419415100373
LEVL2AS1UVT20180826C03_015T04_9000002328_uvt_02,335.9746,26/08/2018,58356.21756098499,[2449.4 2267. ],[267.7 226.3],0.993057822303882,4.979e-05,11.823995,17.26974765582523,0.2231644021755611
LEVL2AS1UVT20180826C03_015T04_9000002328_uvt_01,541.4974,26/08/2018,58356.28648244231,[2462.7 2056.9],[268.  220.1],0.9957480612320564,4.356e-05,11.960336,17.471669317966608,0.17674258582221872
LEVL2AS1UVT20180913C03_015T03_9000002366_uvt_04,553.7884,14/09/2018,58375.04452532862,[2513.1 2060. ],[265.7 219. ],0.9966832618181519,3.731e-05,11.957636,17.44466693653066,0.17458919104577633
LEVL2AS1UVT20180913C03_015T03_9000002366_uvt_03,423.5175,14/09/2018,58375.09616364239,[2741.5 2072.5],[297.1 222. ],0.9939630626322756,4.197e-05,11.983509,17.558396801877148,0.20033213966541957
LEVL2AS1UVT20180913C03_015T03_9000002366_uvt_02,154.7537,14/09/2018,58375.114637838895,[2643.2 2076.2],[276.2 218.2],0.9977107963903712,4.689e-05,12.013232,17.527579880954416,0.33115722750119586
LEVL2AS1UVT20180921C03_015T04_9000002382_uvt_01,1140.415,21/09/2018,58382.8859726917,[2621.  2238.5],[267.7 225.6],0.993057822303882,3.202e-05,11.786312,17.1973289220118,0.12079466987835531
LEVL2AS1UVT20181023C04_009T01_9000002448_uvt_01,1140.344,23/10/2018,58414.41262257768,[2790.1 2103.8],[281.7 230.2],0.9933351557815668,3.102e-05,11.805236,17.227484944437354,0.12089264844376077
LEVL2AS1UVT20190104C04_009T02_9000002618_uvt_01,1140.31,04/01/2019,58487.771890948534,[2546.4 2224.4],[278.4 225.3],0.9943650662082628,3.099e-05,11.942276,17.469031738469404,0.12172405481806119
LEVL2AS1UVT20191213C05_013T02_9000003364_uvt_01,1140.484,13/12/2019,58830.611984730596,[2550.6 2245. ],[280.4 222.1],0.99539714059233,3.083e-05,11.900787,17.364627786566757,0.12135797604145493
LEVL2AS1UVT20191219C05_013T03_9000003376_uvt_01,508.2762,19/12/2019,58836.90368406436,[2576.9 2252. ],[276.5 220.1],0.9963639475480904,2.989e-05,11.985021,17.505180709579246,0.18250033923351458
LEVL2AS1UVT20200512C05_013T04_9000003660_uvt_01,1143.722,12/05/2020,58981.35651975052,[2437.6 2113. ],[274.8 224.2],0.9942826823901088,3.744e-05,11.760798,17.120254699819586,0.12037661369019609
LEVL2AS1UVT20201005T03_247T01_9000003914_uvt_02,192.6065,05/10/2020,59127.10515084031,[2518.7 2177.2],[267.8 229.4],0.9927182753929348,4.597e-05,11.868292,17.362908803866826,0.2954843090551137
LEVL2AS1UVT20201005T03_247T01_9000003914_uvt_01,545.9542,05/10/2020,59127.15518983818,[2284.8 2520.5],[265.8 232.2],0.9940717589604728,3.691e-05,12.072501,17.729799181242473,0.17724834684499066
LEVL2AS1UVT20201015C05_013T06_9000003920_uvt_01,735.7728,15/10/2020,59137.92131370184,[2422.2 2175.2],[260.  217.7],1.0001774021977063,3.124e-05,11.795217,17.052775396186867,0.1497635892785982
LEVL2AS1UVT20210703C06_010T01_9000004504_uvt_03,677.7931,03/07/2021,59398.26440334026,[2489.1 1595.5],[269.8 158.1],1.0144178251735383,4.096e-05,11.849936,16.840609321822686,0.1551513497421232
LEVL2AS1UVT20210802C06_010T02_9000004618_uvt_03,1468.689,02/08/2021,59428.84833567967,[2224.5 1660.1],[231.4 162.5],1.0194564154235384,3.429e-05,11.929262,16.878806987527543,0.10548145344261807
LEVL2AS1UVT20210802C06_010T02_9000004618_uvt_02,875.0664,02/08/2021,59428.91489873407,[2180.5 1676. ],[233.3 163.7],1.0191949222065348,3.519e-05,11.805255,16.654428822551438,0.13577091785037762
LEVL2AS1UVT20210827C06_010T03_9000004672_uvt_03,991.3032,27/08/2021,59453.40590195227,[2122.4 1742.9],[218.3 179.4],1.0206298992998364,3.637e-05,11.85054,16.7073862248757,0.12776786566909304
LEVL2AS1UVT20210827C06_010T03_9000004672_uvt_02,1480.006,27/08/2021,59453.47183889358,[1963.3 1752.5],[217.  180.6],1.0198249958831938,3.527e-05,11.911945,16.83860206786892,0.1049586741869456
LEVL2AS1UVT20211025C06_010T05_9000004736_uvt_02,1558.044,25/10/2021,59512.33221496314,[2156.3 2045.1],[205.6 254.2],1.0174640445434089,3.381e-05,11.815932,16.711436111732475,0.10191640649957086
LEVL2AS1UVT20211025C06_010T05_9000004736_uvt_01,204.4466,25/10/2021,59512.3915545294,[2198.8 2123.2],[212.6 239.3],1.009584464356688,4.184e-05,11.791881,16.837022624031313,0.28248584401019405
LEVL2AS1UVT20211101T04_065T01_9000004750_uvt_02,163.1729,01/11/2021,59519.236303046004,[2613.1 2269.3],[275.2 240.8],0.9975947995003528,2.856e-05,11.488208,16.52840790919652,0.31321777837297643
LEVL2AS1UVT20221215C06_010T05_9000005424_uvt_03,481.8446,15/12/2022,59928.21770007775,[2329.6 2496.5],[255.6 296.5],1.0057923026712627,3.446e-05,11.615801,16.590244283870238,0.18264923947756692
LEVL2AS1UVT20221215C06_010T05_9000005424_uvt_02,1318.672,15/12/2022,59928.28408804239,[2375.  2459.4],[247.  291.9],1.0098728069138605,3.719e-05,11.587578,16.450511942013236,0.109959798860283
LEVL2AS1UVT20221215C06_010T05_9000005424_uvt_01,984.6163,15/12/2022,59928.34966310217,[2355.3 2380.5],[250.2 282. ],1.0063896133100363,3.633e-05,11.619202,16.583892752496762,0.12774698225331896
LEVL2AS1UVT20221223C06_010T05_9000005436_uvt_03,1046.114,23/12/2022,59936.40380748491,[2352.1 2600.9],[255.6 292.4],1.0055696965525662,3.696e-05,11.482546,16.347043559242056,0.12308578096312826
LEVL2AS1UVT20221223C06_010T05_9000005436_uvt_02,1732.193,23/12/2022,59936.47006898333,[2826.3 2618.3],[259.  297.4],1.0045524933878265,3.289e-05,11.750499,16.87058603801972,0.09710352136232443
LEVL2AS1UVT20230115C06_010T05_9000005484_uvt_03,1435.363,15/01/2023,59959.87328381399,[2762.5 2722.8],[308.3 290.4],1.0015323676782115,4.200e-05,11.786183,17.005299758381394,0.10712188666173063
LEVL2AS1UVT20230115C06_010T05_9000005484_uvt_02,1173.565,15/01/2023,59959.94207698836,[2749.8 2681.1],[308.1 293.8],1.001522530904347,4.165e-05,11.793048,17.01854889288283,0.11851573500916233
LEVL2AS1UVT20230422T05_101T01_9000005578_uvt_02,793.4738,22/04/2023,60056.97625771062,[2522.  2044.3],[279.7 222.8],0.9950411796591918,3.817e-05,11.718737,17.022316664224274,0.14412891851966952
LEVL2AS1UVT20230422T05_101T01_9000005578_uvt_01,211.8987,23/04/2023,60057.04344781561,[2599.6 2021.2],[282.2 217.1],0.9981809926704036,4.455e-05,11.889382,17.277830021208327,0.2809876129453482
LEVL2AS1UVT20230428T05_101T01_9000005586_uvt_02,851.4885,28/04/2023,60062.993210178975,[2438.2 2031.5],[274.9 216.9],0.9981843940001234,5.212e-05,11.932236,17.36095063513467,0.1405483888717545
LEVL2AS1UVT20230428T05_101T01_9000005586_uvt_01,182.2993,29/04/2023,60063.06167725061,[2586.4 2036.1],[282.  214.6],0.9996949399185628,5.349e-05,11.58703,16.66807991647292,0.29782587578028386
LEVL2AS1UVT20230529C06_010T05_9000005670_uvt_04,521.7172,30/05/2023,60094.02418266799,[2746.5 1648.1],[303.4 166.1],1.0032486146322217,4.275e-05,11.632327,16.67640296992983,0.17600988195734227
LEVL2AS1UVT20230529C06_010T05_9000005670_uvt_01,889.8638,30/05/2023,60094.21547022855,[2498.1 1152.7],[302.5 158.6],1.004395859676563,9.847e-05,11.554907,16.506728761336216,0.13439150267900737
LEVL2AS1UVT20230729C06_010T01_9000005800_uvt_04,1269.118,29/07/2023,60154.92979120458,[2194.  1668.7],[235.8 157.2],1.0189685610765895,4.134e-05,11.61003,16.300380848112912,0.11160839381841214
LEVL2AS1UVT20230729C06_010T01_9000005800_uvt_03,226.8035,29/07/2023,60154.99597859554,[2137.2 1507.6],[231.6 144.3],1.022911007191076,4.427e-05,11.96542,16.870260390025276,0.2684516038988766
LEVL2AS1UVT20230813C06_010T01_9000005816_uvt_03,195.3482,13/08/2023,60169.396869503296,[2248.6 1691.9],[234. 173.],1.0202844180180524,3.638e-05,11.447826,15.978371979545802,0.2817149353859423
LEVL2AS1UVT20230813C06_010T01_9000005816_uvt_01,390.2259,13/08/2023,60169.45084938969,[2200.  1567.8],[230.8 173.3],1.0198120577861554,1.132e-04,11.520425,16.11935282474382,0.20075455675956458
LEVL2AS1UVT20240624C09_011T02_9000006310_uvt_02,735.95,24/06/2024,60485.732826737745,[2577.6 1497. ],[278.  155.8],1.0118662760233543,7.688e-05,11.324434,15.925659594099951,0.1451389567035652
LEVL2AS1UVT20240825C09_011T03_9000006410_uvt_03,732.3262,25/08/2024,60547.25677612972,[2005.8 1740.1],[208.  184.8],1.0178107332257065,5.401e-05,11.428697,15.993987983138327,0.14566597972027034
LEVL2AS1UVT20240825C09_011T03_9000006410_uvt_02,1379.265,25/08/2024,60547.32291868102,[2042.6 1356.7],[202.5 181.3],1.016358008225094,7.195e-05,11.344859,15.871717157090622,0.10583261825421865
LEVL2AS1UVT20240828C09_011T01_9000006418_uvt_01,573.4288,28/08/2024,60550.356327759226,[2106.5 1361.1],[210.5 170.4],1.0180812752510442,1.256e-04,11.374807,15.890902156950261,0.16458158764124833
