Observation ID,Exposure time,Date of observation,MJD,Source coordinates,FF coordinates,FF corrections,Median image background,Background subtracted CPS,Corrected CPS,Corrected CPS errors
LEVL2AS1UVT20160322T01_034T01_9000000392_uvt_06,561.901,22/03/2016,57469.57055495026,[3146.3 2294.7],[344.8 278.5],0.9976721601128166,3.698e-05,11.695282,16.918415677414973,0.17075072875360808
LEVL2AS1UVT20160322T01_034T01_9000000392_uvt_05,466.4869,22/03/2016,57469.62478939626,[2933.6 2364.5],[322.5 257.1],0.9974688032037972,5.036e-05,12.086205,17.675976944537986,0.1915643671923021
LEVL2AS1UVT20160518G05_209T01_9000000458_uvt_09,1105.032,18/05/2016,57526.81351518808,[2526.5 2312.1],[273.1 234.8],0.9949672053991814,3.830e-05,11.775121,17.132198542457754,0.12251641843110318
LEVL2AS1UVT20160915G05_258T01_9000000666_uvt_08,621.1011,15/09/2016,57646.25129677522,[2065.2 1828.4],[259.8 224.5],0.9973331941278522,3.967e-05,11.937878,17.391418989635053,0.16462962847419127
LEVL2AS1UVT20170130C02_016T01_9000000992_uvt_01,1194.736,30/01/2017,57783.49373842642,[2378.4 2622.3],[277.5 229.2],0.993541758977465,3.160e-05,11.83543,17.281059316140855,0.11829351446071906
LEVL2AS1UVT20170416C02_030T01_9000001168_uvt_04,306.51,16/04/2017,57859.09301580091,[2628.6 2019.6],[280.1 228.3],0.9938187760876978,4.857e-05,11.900838,17.40082041295839,0.2344949605541966
LEVL2AS1UVT20170416C02_030T01_9000001168_uvt_02,433.1967,16/04/2017,57859.2144142548,[2931.4 2135. ],[280.7 228.4],0.9938912843652778,4.111e-05,11.903874,17.405233244360332,0.19721356410419016
LEVL2AS1UVT20170416C02_030T01_9000001168_uvt_01,351.7798,16/04/2017,57859.28381735264,[2940.6 2027.6],[283.3 232.2],0.9931506970559608,4.496e-05,11.494797,16.637430299244304,0.21413888962205724
LEVL2AS1UVT20171221C03_015T01_9000001788_uvt_01,148.5886,21/12/2017,58108.58372883913,[2980.3 2602.6],[324.1 276.8],1.002229930357728,4.255e-05,11.783564,16.983584411617095,0.3327422486340895
LEVL2AS1UVT20180222T02_002T01_9000001914_uvt_02,1854.627,23/02/2018,58172.45087022949,[2740.9 2252.4],[278.4 231.6],0.9936316602003104,3.437e-05,11.871689,17.349199509599824,0.09513745628715159
